gebouw_id,Huisnummer,HuisnummerExtra,POSTCODE,Object,Oppervlakte,gebruiksdoel1,gebruiksdoel2,gebruiksdoel3
254,,,,,,industrie,Office,
1228,10,0,7418AJ,,,,,
413,30,,1077WX,,,,,
417,30,,1077WX,,,,,
418,30,,1077WX,,,,,
430,2,,7411TJ,,,,,
408,65,,7461BC,,,,,
336,,,1096BA,,,,,
187,275,,2545CH,,,,,
626,1,,1315HR,,,,,
624,1,,1315HR,,,,,
623,1,,1315HR,,,,,
608,1,,1234AA,,,,,
92,,,3815KL,,,,,
93,,,3815KL,,,,,
246,,,,,,,,
324,,,3584BB,,,,,
1218,101,,3584BB,,,,,
1220,39,,1024TW,,,,,
253,,,,,,,,
252,,,,,,,,
1542,275,,5014GE,,,,,
191,275,,2545CH,,,,,
190,275,,2545CH,,,,,
227,275,,2545CH,,,,,
228,275,,2545CH,,,,,
226,275,,2545CH,,,,,
223,275,,2545CH,,,,,
224,275,,2545CH,,,,,
222,275,,2545CH,,,,,
243,275,,2545CH,,,,,
242,275,,2545CH,,,,,
244,275,,2545CH,,,,,
219,275,,2545CH,,,,,
220,275,,2545CH,,,,,
218,275,,2545CH,,,,,
239,275,,2545CH,,,,,
240,275,,2545CH,,,,,
238,275,,2545CH,,,,,
284,275,,2545CH,,,,,
289,275,,2545CH,,,,,
279,275,,2545CH,,,,,
283,275,,2545CH,,,,,
288,275,,2545CH,,,,,
278,275,,2545CH,,,,,
323,275,,2545CH,,,,,
282,275,,2545CH,,,,,
287,275,,2545CH,,,,,
277,275,,2545CH,,,,,
215,275,,2545CH,,,,,
216,275,,2545CH,,,,,
214,275,,2545CH,,,,,
285,275,,2545CH,,,,,
290,275,,2545CH,,,,,
280,275,,2545CH,,,,,
249,275,,2545CH,,,,,
248,275,,2545CH,,,,,
309,275,,2545CH,,,,,
313,275,,2545CH,,,,,
304,275,,2545CH,,,,,
308,275,,2545CH,,,,,
312,275,,2545CH,,,,,
303,275,,2545CH,,,,,
307,275,,2545CH,,,,,
311,275,,2545CH,,,,,
302,275,,2545CH,,,,,
316,275,,2545CH,,,,,
317,275,,2545CH,,,,,
315,275,,2545CH,,,,,
293,275,,2545CH,,,,,
294,275,,2545CH,,,,,
281,275,,2545CH,,,,,
